Element,sigma (A),ek (K),Reference
AR,3.54,93.30,Giridharan and Keenan
AIR,3.71,78.60,Giridharan and Keenan
BCl3,5.13,337.70,Giridharan and Keenan
BF3,4.20,186.30,Giridharan and Keenan
CCl4,5.95,322.70,Giridharan and Keenan
CF4,4.66,134.00,Giridharan and Keenan
CH3Cl,4.18,350.00,Giridharan and Keenan
CH4,3.76,148.60,Giridharan and Keenan
CO,3.69,91.70,Giridharan and Keenan
COS,4.13,336.00,Giridharan and Keenan
CO2,3.94,195.20,Giridharan and Keenan
C2H2,4.03,231.80,Giridharan and Keenan
C2H4,4.16,224.70,Giridharan and Keenan
C2H6,4.44,215.70,Giridharan and Keenan
C2N2,4.36,348.60,Giridharan and Keenan
C3H6,4.81,248.90,Giridharan and Keenan
C3H8,5.12,237.10,Giridharan and Keenan
C4H10,5.28,330.10,Giridharan and Keenan
C12H23,5.28,330.10,Giridharan and Keenan
JETAL,3.17,330.10,Giridharan and Keenan
C6H6,5.35,412.30,Giridharan and Keenan
Cl2,4.22,316.00,Giridharan and Keenan
HBr,3.35,449.00,Giridharan and Keenan
HCN,3.63,569.10,Giridharan and Keenan
HCl,3.34,344.70,Giridharan and Keenan
HF,3.15,330.00,Giridharan and Keenan
HI,4.21,288.70,Giridharan and Keenan
H2,2.83,59.70,Giridharan and Keenan
H2O,2.64,809.10,Giridharan and Keenan
H2O2,4.20,289.30,Giridharan and Keenan
H2S,3.62,301.10,Giridharan and Keenan
HE,2.55,10.22,Giridharan and Keenan
Hg,2.97,750.00,Giridharan and Keenan
HgBr2,5.08,686.20,Giridharan and Keenan
I2,5.16,474.20,Giridharan and Keenan
NH3,2.90,558.20,Giridharan and Keenan
N2H,2.90,558.20,Giridharan and Keenan
N2H4,2.90,558.20,Giridharan and Keenan
NH2,2.90,558.20,Giridharan and Keenan
N2H3,2.90,558.20,Giridharan and Keenan
N2H2,2.90,558.20,Giridharan and Keenan
NH,2.90,558.20,Giridharan and Keenan
NO,3.49,116.70,Giridharan and Keenan
NOCl,4.11,395.30,Giridharan and Keenan
N2,3.80,71.40,Giridharan and Keenan
N2O,3.83,232.40,Giridharan and Keenan
O2,3.47,106.70,Giridharan and Keenan
PDC,2.64,809.10,Giridharan and Keenan
PH3,3.98,251.50,Giridharan and Keenan
SF6,5.13,222.10,Giridharan and Keenan
SO2,4.11,335.40,Giridharan and Keenan
SiF4,4.88,171.90,Giridharan and Keenan
Kr,3.67,178.90,Giridharan and Keenan
NE,2.82,32.80,Giridharan and Keenan
Xe,4.05,231.00,Giridharan and Keenan
Br2,4.30,507.90,Giridharan and Keenan
CHCl3,5.39,340.20,Giridharan and Keenan
CH2Cl2,4.90,356.30,Giridharan and Keenan
CH3OH,3.63,481.80,Giridharan and Keenan
CS2,4.48,467.00,Giridharan and Keenan
C2H5OH,4.53,362.60,Giridharan and Keenan
CH3OCH3,4.31,395.00,Giridharan and Keenan
C5H12,5.78,341.10,Giridharan and Keenan
C6H12,6.18,297.10,Giridharan and Keenan
F2,3.36,112.60,Giridharan and Keenan
H,2.71,37.00,Giridharan and Keenan
OH,2.75,79.80,Giridharan and Keenan
HO2,3.07,168.00,Giridharan and Keenan
O,3.05,106.70,Giridharan and Keenan
NO2,3.80,71.40,Giridharan and Keenan
NO3,3.80,71.40,Giridharan and Keenan
N2O4,3.83,232.40,Giridharan and Keenan
HNO,3.49,116.70,Giridharan and Keenan
HONO,3.80,71.40,Giridharan and Keenan
HNO3,3.83,232.40,Giridharan and Keenan
N,3.30,71.40,Giridharan and Keenan
C12H26,5.28,330.10,Giridharan and Keenan
C,3.39,30.60,Giridharan and Keenan
C2,3.91,78.80,Giridharan and Keenan
C3,3.91,78.80,Giridharan and Keenan
CN,3.86,75.00,Giridharan and Keenan
CH3NHNH2,4.98,266.80,Giridharan and Keenan
CH3NNH2,4.85,260.00,Giridharan and Keenan
CH3NNH,3.83,232.40,Giridharan and Keenan
CH3NN,3.83,232.40,Giridharan and Keenan
CH2OH,3.69,417.00,Giridharan and Keenan
CH3,3.80,144.00,Giridharan and Keenan
CH2O,3.59,498.00,Giridharan and Keenan
HCO,3.59,498.00,Giridharan and Keenan
NCO,3.83,232.40,Giridharan and Keenan
HNCO,3.83,232.40,Giridharan and Keenan
CH3O,3.69,417.00,Giridharan and Keenan
CH2,3.80,144.00,Giridharan and Keenan
CH2(S),3.80,144.00,Giridharan and Keenan
